WORD / PHRASE,description,"INTRO
je / il / elleétudie,"I / he / she study(s)
 étudier",3-1,4-1 ; 5-3
je / il / ellehabite,"I / he / she live in
 habiter",3-1,4-1 ; 5-3
j',I (elision),3-1,4-1 ; 5-3
tuhabites,you live in (familiar) verb habiter,3-1,4-1 ; 5-3
à,To,3-1,4-1 ; 5-3
je / il / elletravaille,work,3-1,4-1 ; 5-3
tutravailles,work,3-1,4-1 ; 5-3
il estétudiant,he is a student,3-1,4-1 ; 5-3
elle estétudiante,she is a student,3-1,4-1 ; 5-3
ici,here,3-1,4-1 ; 5-3
en,in,3-1,4-1 ; 5-3
Espagne,Spain (f),3-1,4-1 ; 5-3
Europe,Europe (f),3-1,4-1 ; 5-3
avec,with,3-1,4-1 ; 5-3
Angleterre,England (f),3-1,4-1 ; 5-3
tuétudies,study (familiar),3-1,4-1 ; 5-3
non,No,3-1,4-1 ; 5-3
Italie,Italy (f),3-1,4-1 ; 5-3
uneuniversité,a university,3-1,4-1 ; 5-3
un / unejournaliste,a journalist,3-1,4-1 ; 5-3
France,France (f),3-1,4-1 ; 5-3
professeur,teacher (m / f),3-1,4-1 ; 5-3
le,the (m),3-6,5-1 ; 6-3
la,there (f),3-6,5-1 ; 6-3
gare,station,3-6,5-1 ; 6-3
unrestaurant,the restaurant,3-6,5-1 ; 6-3
jevais,"I go
 aller",3-6,5-1 ; 6-3
à,to,3-6,5-1 ; 6-3
l',I' (elision) (m / f),3-6,5-1 ; 6-3
unhôtel,a hotel,3-6,5-1 ; 6-3
unaéroport,an airport,3-6,5-1 ; 6-3
unavion,a plane,3-6,5-1 ; 6-3
tuvas,"you go (familiar)
verb aller",3-6,5-1 ; 6-3
je / tuprends,"I / you take
 pendre",3-6,5-1 ; 6-3
untrain,a train,3-6,5-1 ; 6-3
unevoiture,a car,3-6,5-1 ; 6-3
en,in,3-6,5-1 ; 6-3
il / elleva,"he / she goes
 aller",3-6,5-1 ; 6-3
untaxi,a taxi,3-6,5-1 ; 6-3
unevalise,a suitcase,3-6,5-1 ; 6-3
s'il vous plaît,Please,3-6,5-1 ; 6-3
où,where,3-6,5-1 ; 6-3
il / ellea,he / she has verb avoir,3-6,5-1 ; 6-3
tuas,you have (familiar) verb avoir,3-6,5-1 ; 6-3
unpasseport,a passport,3-6,5-1 ; 6-3
unbillet d'avion,a plane ticket,3-6,5-1 ; 6-3
j'ai,I have (familiar) verb avoir,3-6,5-1 ; 6-3
