WORD / PHRASE,description,"INTRO
Unit - Lesson",REVIEWED
sœurs,sisters (p),8-4,9-5 ; 10-6
frères,brothers (p),8-4,9-5 ; 10-6
mes,my (p),8-4,9-5 ; 10-6
tes,your (p) familiar,8-4,9-5 ; 10-6
aiment,"love
 aimer",8-4,9-5 ; 10-6
parents,parents (p),8-4,9-5 ; 10-6
ce sont,these are,8-4,9-5 ; 10-6
ses,his,8-4,9-5 ; 10-6
filles,girls,8-4,9-5 ; 10-6
fils,son,8-4,9-5 ; 10-6
unbébé,baby,8-4,9-5 ; 10-6
amusant,fun (m),8-4,9-5 ; 10-6
amusante,fun (f),8-4,9-5 ; 10-6
content,content (m),8-4,9-5 ; 10-6
contente,content (f),8-4,9-5 ; 10-6
intelligent,clever (m),8-4,9-5 ; 10-6
intelligente,intelligent (f),8-4,9-5 ; 10-6
françaises,french (fp),8-4,9-5 ; 10-6
anglaises,English (fp),8-4,9-5 ; 10-6
américaines,american (fp),8-4,9-5 ; 10-6
mexicaines,mexican (fp),8-4,9-5 ; 10-6
américains,american (mp),8-4,9-5 ; 10-6
mexicains,mexicans (mp),8-4,9-5 ; 10-6
amusants,fun (mp),8-4,9-5 ; 10-6
amusantes,fun (fp),8-4,9-5 ; 10-6
contents,content (mp),8-4,9-5 ; 10-6
contentes,content (fp),8-4,9-5 ; 10-6
intelligents,smart (mp),8-4,9-5 ; 10-6
intelligentes,smart (fp),8-4,9-5 ; 10-6
